building_no,name,area,address,raw_address,display_address,management_company,management_phone,manager_name,manager_phone,active_users,total_households,ip,host,note,contract_status,monthly_revenue,building_type,service_level,public_facility_status,manager_age,manager_experience,manager_interest,visit_time,committee_time,resident_meeting_time,created_at,updated_at
B010,開元寶,北區,台南市北區北園街6號,台南市北區北園街6號,台南市北區北園街6號,力漢開元寶物業管理服務有限公司,063326693,王總幹事,0961007878,122,238,125.229.205.160:9000,http://220.134.145.187:9000/,需先電聯管委會,待議價,60878,大樓,B,正常,60+,1 年以內,公設線路,09:00-12:00,不定期,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B011,世紀之門,北區,台南市北區北園街8巷26號,台南市北區北園街8巷26號,台南市北區北園街8巷26號,世紀之門公寓大廈管理維護股份有限公司,063352791,陳主任,0946405380,146,304,220.133.112.26:9000,http://220.135.240.236:9000/,管理室可代收單,有效,131254,大樓,B,管理室反應訊號弱,60+,3 年以上,TV 服務,13:30-17:30,不定期,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B013,長億城,北區,台南市永康區中華路725號,台南市永康區中華路725號,台南市永康區中華路725號,長億城管理維護有限公司,063308163,黃秘書,0966994853,86,1743,122.117.161.121:9000,sw-b015,管理室可代收單,待議價,42914,社區,A,管理室反應訊號弱,60+,1-3 年,續約,需預約,不定期,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B014,新好國宅,北區,台南市北區北園街22號,台南市北區北園街22號,台南市北區北園街22號,新好國宅管理服務中心,063776159,王總幹事,0971219830,81,447,122.117.170.84:9000,http://122.117.198.92:9000/,線路整理中,有效,40419,國宅,B,管理室反應訊號弱,30-39,1-3 年,網路升級,13:30-17:30,每月第三週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B015,東方公園,北區,台南市永康區中華二路266巷12號,台南市永康區中華二路266巷12號,台南市永康區中華二路266巷12號,東方公園物業管理服務有限公司,062126060,黃秘書,0957083255,197,292,61.221.251.125:9000,http://59.127.30.245:9000/,地下室設備間需借鑰,待議價,98303,社區,A,正常,30-39,1 年以內,續約,需預約,每月第三週,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B016,翡翠,東區,台南市永康區勝學路223號,台南市永康區勝學路223號,台南市永康區勝學路223號,翡翠大郡公寓大廈管理維護有限公司,062525443,王總幹事,0961068938,2,259,122.117.15.250:9000,http://59.127.209.137:9000/,線路整理中,待議價,252168,大樓,A,管理室反應訊號弱,30-39,1-3 年,續約,09:00-12:00,不定期,週日下午,2026-01-01 08:00:00,2026-05-17 21:32:37
B017,晶采,北區,台南市永康區中華二路347號,台南市永康區中華二路347號,台南市永康區中華二路347號,晶采物業管理顧問有限公司,062889038,王總幹事,0992733040,81,136,122.117.188.119:9000,http://122.117.201.213:9000/,地下室設備間需借鑰,有效,72819,大樓,C,待線路整理,60+,1-3 年,公設線路,09:00-12:00,每月第一週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B018,大時代,北區,台南市永康區中華一路203巷10-1號,台南市永康區中華一路203巷10-1號,台南市永康區中華一路203巷10-1號,大時代公寓大廈管理維護有限公司,063266062,黃秘書,0927412058,332,213,122.117.201.30:9000,http://59.127.165.196:9000/,需先電聯管委會,待議價,298468,社區,A,正常,40-49,1-3 年,續約,09:00-12:00,每月第三週,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B019,水舞紀,北區,台南市永康區東橋五路91號,台南市永康區東橋五路91號,台南市永康區東橋五路91號,水舞紀物業管理服務有限公司,063281599,黃秘書,0963018289,166,255,59.127.28.219:9000,http://125.229.205.12:9000/,管理室可代收單,續約中,149234,社區,A,待線路整理,30-39,1-3 年,網路升級,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B020,夢公園,北區,台南市永康區東橋一路580號,台南市永康區東橋一路580號,台南市永康區東橋一路580號,夢公園管理維護股份有限公司,063809250,黃秘書,063962727,155,238,122.117.201.188:9000,http://220.134.144.206:9000/,管理室可代收單,續約中,77345,社區,A,待線路整理,40-49,1 年以內,網路升級,需預約,不定期,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B021,北府苑,北區,台南市北區文成一路86號,台南市北區文成一路86號,台南市北區文成一路86號,北府苑物業管理顧問有限公司,063710245,王總幹事,0942726075,78,517,220.133.68.157:9000,http://220.134.144.192:9000/,線路整理中,待議價,62244,社區,C,管理室反應訊號弱,60+,3 年以上,公設線路,需預約,每月第三週,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B022,春福學學,北區,台南市安南區郡安路五段52號,台南市安南區郡安路五段52號,台南市安南區郡安路五段52號,春福學學公寓大廈管理維護有限公司,062757375,王總幹事,0959855128,133,245,220.134.144.188:9000,http://220.134.182.12:9000/,管理室可代收單,待議價,119567,大樓,B,管理室反應訊號弱,30-39,1-3 年,網路升級,13:30-17:30,每月第一週,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B023,綠海都心,東區,台南市永康區東橋五路176號,台南市永康區東橋五路176號,台南市永康區東橋五路176號,綠海都心物業管理服務有限公司,063432176,王總幹事,0988598605,3,797,114.33.237.58:9000,http://125.228.225.171:9000/,需先電聯管委會,待議價,132810,社區,B,正常,40-49,3 年以上,公設線路,需預約,每月第三週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B024,東興,北區,台南市北區小東路423巷1號,台南市北區小東路423巷1號,台南市北區小東路423巷1號,東興華廈管理維護有限公司,062272253,陳主任,0983266339,198,138,,http://211.72.19.250:9000/,地下室設備間需借鑰,待議價,138402,大樓,B,管理室反應訊號弱,40-49,1-3 年,網路升級,需預約,不定期,週六晚間,2026-01-01 08:00:00,2026-05-17 21:32:37
B025,天闕,北區,台南市東區小東路244號,台南市東區小東路244號,台南市東區小東路244號,天闕公寓大廈管理維護有限公司,062875294,林組長,0999088354,65,273,122.117.166.27:9000,http://122.117.12.49:9000/,線路整理中,有效,32435,社區,C,正常,60+,1 年以內,TV 服務,需預約,不定期,尚未安排,2026-01-01 08:00:00,2026-05-17 14:04:23
B026,果貿,北區,台南市北區林森路三段140巷5號,台南市北區林森路三段140巷5號,台南市北區林森路三段140巷5號,果貿二村管理服務中心,062872503,陳主任,0951504777,164,236,,http://59.127.246.17:9000/,地下室設備間需借鑰,待議價,114636,大樓,C,正常,50-59,3 年以上,TV 服務,09:00-12:00,不定期,週六晚間,2026-01-01 08:00:00,2026-05-17 21:32:37
B027,都會假期,東區,台南市安平區健康三街592巷55號,台南市安平區健康三街592巷55號,台南市安平區健康三街592巷55號,都會假期物業管理服務有限公司,063040297,林組長,0965538972,33,270,114.33.156.50:9000,http://114.35.230.157:9000/,地下室設備間需借鑰,有效,74351,大樓,B,管理室反應訊號弱,30-39,1 年以內,公設線路,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B028,南國,東區,台南市安平區郡平路188號,台南市安平區郡平路188號,台南市安平區郡平路188號,南國物業管理顧問有限公司,063152700,陳主任,0947704736,62,529,220.134.144.166:9000,http://122.117.201.30:9000/,線路整理中,續約中,80910,大樓,B,待線路整理,60+,1-3 年,續約,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B029,荷蘭首府,東區,台南市安平區永華路二段851號,台南市安平區永華路二段851號,台南市安平區永華路二段851號,荷蘭首府管理維護股份有限公司,063048151,林組長,0962463139,18,231,220.134.144.192:9000,http://125.229.205.160:9000/,管理室可代收單,有效,194712,大樓,C,管理室反應訊號弱,60+,1-3 年,TV 服務,13:30-17:30,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B030,荷蘭家鄉,東區,台南市安平區健康三街12巷1號,台南市安平區健康三街12巷1號,台南市安平區健康三街12巷1號,荷蘭家鄉公寓大廈管理維護有限公司,062268846,林組長,0999123556,63,330,114.33.178.92:9000,http://122.117.49.24:9000/,線路整理中,待議價,79840,國宅,B,待線路整理,50-59,1-3 年,公設線路,13:30-17:30,每月第三週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B032,皇政首席鍗寶,安平,台南市永康區永大路三段620號,台南市永康區永大路三段620號,台南市永康區永大路三段620號,皇政首席鍗寶管理委員會,063575600,陳主任,063725515,62,98,,http://61.221.207.51:9000/,需先電聯管委會,待議價,43338,社區,B,管理室反應訊號弱,50-59,1 年以內,公設線路,09:00-12:00,每月第三週,週日下午,2026-01-01 08:00:00,2026-05-17 21:32:37
B033,維冠龍殿,北台南,台南市永康區永二街411號,台南市永康區永二街411號,台南市永康區永二街411號,維冠龍殿管理維護有限公司,063040297,林組長,0965538972,149,292,211.21.244.245:9000,http://111.254.159.93:9000/,地下室設備間需借鑰,有效,74351,大樓,B,管理室反應訊號弱,30-39,1 年以內,公設線路,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B034,京城鳳凰,北台南,台南市永康區中華路7巷2號,台南市永康區中華路7巷2號,台南市永康區中華路7巷2號,京城鳳凰管理委員會,062989336,陳主任,0976096879,109,295,125.229.207.123:9000,http://122.117.133.121:9000/,管理室可代收單,待議價,97991,大樓,A,待線路整理,40-49,3 年以上,TV 服務,09:00-12:00,每月第一週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B035,摩根 168,永康,台南市東區中華東路二段151號,台南市東區中華東路二段151號,台南市東區中華東路二段151號,摩根 168管理委員會,063040297,林組長,0965538972,149,357,,http://122.117.161.121:9000/,地下室設備間需借鑰,有效,74351,大樓,B,管理室反應訊號弱,30-39,1 年以內,公設線路,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 21:32:37
B036,陽光華廈,永康,台南市永康區復華七街32巷23號,台南市永康區復華七街32巷23號,台南市永康區復華七街32巷23號,陽光華廈管理委員會,063152700,陳主任,0947704736,90,137,125.229.207.90:9000,http://114.35.240.239:9000/,線路整理中,續約中,80910,大樓,B,待線路整理,60+,1-3 年,續約,需預約,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B037,白金漢宮,永康,台南市永康區復華三街62號,台南市永康區復華三街62號,台南市永康區復華三街62號,白金漢宮管理委員會,063048151,林組長,0962463139,244,375,211.23.151.55:9000,http://114.33.180.12:9000/,管理室可代收單,有效,194712,大樓,C,管理室反應訊號弱,60+,1-3 年,TV 服務,13:30-17:30,每月第一週,週日下午,2026-01-01 08:00:00,2026-05-17 14:04:23
B038,凡爾賽,永康,台南市永康區復華三街90巷12號,台南市永康區復華三街90巷12號,台南市永康區復華三街90巷12號,凡爾賽管理委員會,062268846,林組長,0999123556,160,427,125.229.84.42:9000,http://210.61.41.33:9000/,線路整理中,待議價,79840,國宅,B,待線路整理,50-59,1-3 年,公設線路,13:30-17:30,每月第三週,週日下午,2026-01-01 08:00:00,2026-05-17 21:32:37
B039,桂花鄉,永康,台南市北區開元路485巷41弄6號,台南市北區開元路485巷41弄6號,台南市北區開元路485巷41弄6號,桂花鄉管理委員會,062989336,陳主任,0976096879,109,295,220.133.112.220:9000,http://122.117.172.239:9000/,管理室可代收單,待議價,97991,大樓,A,待線路整理,40-49,3 年以上,TV 服務,09:00-12:00,每月第一週,週六晚間,2026-01-01 08:00:00,2026-05-17 14:04:23
B040,水森林,高雄,高雄市楠梓區翠屏里加仁路171號,高雄市楠梓區翠屏里加仁路171號,高雄市楠梓區翠屏里加仁路171號,,,,,0,0,220.130.243.157:9000,http://114.35.141.42:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B041,流行城市,高雄,高雄市三民區大昌二路268號,高雄市三民區大昌二路268號,高雄市三民區大昌二路268號,,,,,0,0,59.127.190.217:9000,http://114.35.230.50:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B044,遠東新公園,高雄,高雄市三民區建元路56號,高雄市三民區建元路56號,高雄市三民區建元路56號,,,,,0,0,114.35.212.96:9000,http://125.229.207.123:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B045,京城四季,高雄,高雄市左營區介壽路221巷3號,高雄市左營區介壽路221巷3號,高雄市左營區介壽路221巷3號,,,,,0,0,122.117.195.122:9000,http://219.85.59.38:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B046,捷克,高雄,高雄市楠梓區金田里高峰街63號,高雄市楠梓區金田里高峰街63號,高雄市楠梓區金田里高峰街63號,,,,,0,0,,http://220.134.144.193:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B047,林森路亞信大樓,高雄,高雄市新興區東坡里林森一路163-2號,高雄市新興區東坡里林森一路163-2號,高雄市新興區東坡里林森一路163-2號,,,,,0,0,,http://218.161.7.169:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B048,亞大樓,高雄,高雄市鳳山區過埤里過勇路166號,高雄市鳳山區過埤里過勇路166號,高雄市鳳山區過埤里過勇路166號,,,,,0,0,220.134.164.211:9000,http://125.229.205.190:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B049,科博爵士,高雄,高雄市三民區九如一路510號,高雄市三民區九如一路510號,高雄市三民區九如一路510號,,,,,0,0,,http://59.127.30.233:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B050,達麗宮廷,高雄,高雄市左營區福山里華夏路1386號,高雄市左營區福山里華夏路1386號,高雄市左營區福山里華夏路1386號,,,,,0,0,122.117.213.79:9000,http://220.134.196.115:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B051,香港風情畫,高雄,高雄市前鎮區盛豐里三多三路139號,高雄市前鎮區盛豐里三多三路139號,高雄市前鎮區盛豐里三多三路139號,,,,,0,0,,http://125.227.245.51:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B052,未來玩城市,高雄,高雄市楠梓區惠民里青埔街70巷3號,高雄市楠梓區惠民里青埔街70巷3號,高雄市楠梓區惠民里青埔街70巷3號,,,,,0,0,59.127.166.55:9000,http://122.117.49.229:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B053,悅讀天詩,高雄,高雄市左營區新下里華夏路337巷2號,高雄市左營區新下里華夏路337巷2號,高雄市左營區新下里華夏路337巷2號,,,,,0,0,122.117.213.130:9000,http://220.134.144.137:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B054,城中星,高雄,高雄市楠梓區裕昌街161號,高雄市楠梓區裕昌街161號,高雄市楠梓區裕昌街161號,,,,,0,0,122.117.230.146:9000,http://220.134.145.204:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B055,冠藝大樓,高雄,高雄市楠梓區高雄大學路201號,高雄市楠梓區高雄大學路201號,高雄市楠梓區高雄大學路201號,,,,,0,0,211.72.60.229:9000,http://220.134.145.33:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B056,中正大樓,高雄,高雄市新興區中正四路53號,高雄市新興區中正四路53號,高雄市新興區中正四路53號,,,,,0,0,59.127.179.135:9000,http://220.134.145.208:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B058,雅園,高雄,高雄市三民區中山一路325巷2號1樓,高雄市三民區中山一路325巷2號1樓,高雄市三民區中山一路325巷2號1樓,,,,,0,0,,http://114.33.157.22:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B059,快可易,高雄,高雄市左營區福山里大中二路256號,高雄市左營區福山里大中二路256號,高雄市左營區福山里大中二路256號,,,,,0,0,220.133.228.150:9000,http://220.133.112.184:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B060,Happy 悅讀,高雄,高雄市楠梓區德民路450號,高雄市楠梓區德民路450號,高雄市楠梓區德民路450號,,,,,0,0,,http://59.127.3.154:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B061,上新光,東區,高雄市左營區福山里重建路2號,高雄市左營區福山里重建路2號,高雄市左營區福山里重建路2號,,,,,43,43,,http://59.127.147.30:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B062,華廈獎章,高雄,高雄市左營區菜公里文科街36號,高雄市左營區菜公里文科街36號,高雄市左營區菜公里文科街36號,,,,,0,0,,,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-14 15:18:08
B063,華人匯,高雄,高雄市鼓山區龍子里裕誠路1687號,高雄市鼓山區龍子里裕誠路1687號,高雄市鼓山區龍子里裕誠路1687號,,,,,0,0,,,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-14 15:18:08
B064,最佳女主角,高雄,高雄市新興區大明里中正四路63巷,高雄市新興區大明里中正四路63巷,高雄市新興區大明里中正四路63巷,,,,,0,0,,http://114.35.201.236:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B065,聯上i-home,高雄,高雄市前鎮區西甲里中山二路180號,高雄市前鎮區西甲里中山二路180號,高雄市前鎮區西甲里中山二路180號,,,,,0,0,,http://220.133.182.70:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B066,香頌,高雄,高雄市三民區灣中里建工路776號,高雄市三民區灣中里建工路776號,高雄市三民區灣中里建工路776號,,,,,0,0,122.117.49.229:9000,http://125.229.207.8:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B067,沐林,高雄,高雄市鳳山區福誠里福誠二街7號,高雄市鳳山區福誠里福誠二街7號,高雄市鳳山區福誠里福誠二街7號,,,,,0,0,,http://122.117.188.141:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B068,堅山三川,高雄,高雄市楠梓區翠屏里德富街22～28號,高雄市楠梓區翠屏里德富街22～28號,高雄市楠梓區翠屏里德富街22～28號,,,,,0,0,59.127.165.155:9000,http://220.133.112.26:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B069,MINE MINE,高雄,高雄市楠梓區清豐里芎林二街71號,高雄市楠梓區清豐里芎林二街71號,高雄市楠梓區清豐里芎林二街71號,,,,,0,0,220.133.182.70:9000,http://220.134.144.153:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B070,柏克萊,高雄,高雄市三民區本館里大豐一路92號,高雄市三民區本館里大豐一路92號,高雄市三民區本館里大豐一路92號,,,,,0,0,219.85.59.38:9000,http://220.132.250.189:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B071,築夢世紀,高雄,高雄市三民區鼎泰里民族一路543巷8號,高雄市三民區鼎泰里民族一路543巷8號,高雄市三民區鼎泰里民族一路543巷8號,,,,,0,0,122.117.49.169:9000,http://59.127.30.222:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B072,芳崗博市館,高雄,"高雄市楠梓區藍田里大學二十六街30 號,","高雄市楠梓區藍田里大學二十六街30 號,","高雄市楠梓區藍田里大學二十六街30 號,",,,,,0,0,,http://220.134.145.35:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B073,芳崗澄品,高雄,高雄市仁武區赤山里仁勇路516號,高雄市仁武區赤山里仁勇路516號,高雄市仁武區赤山里仁勇路516號,,,,,0,0,220.134.182.186:9000,http://220.134.144.135:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B074,都會大亨,高雄,台灣新興區文昌里和平一路199號,台灣新興區文昌里和平一路199號,台灣新興區文昌里和平一路199號,,,,,0,0,,http://122.117.214.163:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B075,悅讀ABC,高雄,高雄市鳳山區保安里鳳甲一街117號,高雄市鳳山區保安里鳳甲一街117號,高雄市鳳山區保安里鳳甲一街117號,,,,,0,0,220.134.182.152:9000,http://125.229.205.60:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B076,保泰逸居,高雄,高雄市鳳山區善美里保泰路308號,高雄市鳳山區善美里保泰路308號,高雄市鳳山區善美里保泰路308號,,,,,0,0,,http://220.134.144.209:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B077,輕軌線上,高雄,高雄市前鎮區瑞北里武德街62號,高雄市前鎮區瑞北里武德街62號,高雄市前鎮區瑞北里武德街62號,,,,,0,0,218.161.107.30:9000,http://125.229.205.79:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B078,飛揚大樓,高雄,高雄市鼓山區龍子里龍勝路78號,高雄市鼓山區龍子里龍勝路78號,高雄市鼓山區龍子里龍勝路78號,,,,,0,0,,http://122.117.188.213:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B079,合群孝區,高雄,高雄市左營區合群里緯六路250號,高雄市左營區合群里緯六路250號,高雄市左營區合群里緯六路250號,,,,,0,0,59.127.193.48:9000,http://220.133.112.133:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
